Treatment,Outcome,N,OLS_Beta,OLS_p,OLS_CI_Lower,OLS_CI_Upper,AIPW_ATE,AIPW_p,AIPW_CI_Lower,AIPW_CI_Upper,N_Treated,N_Control,Outcome_Mean,Outcome_Median,Outcome_Control_Mean,Absolute_Change_ATE,Relative_Change_Pct_vs_ControlMean,Relative_Change_CI_Lower_Pct,Relative_Change_CI_Upper_Pct,E_Value,E_Value_CI
mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,2898,-2.2631714564619,0.01937611435447091,-4.160231886071165,-0.36611102685263486,-457.51305393257644,0.003992015968063872,-882.699672623618,-111.49902835219613,414,2484,9928.91504538084,9462.1640625,10209.486469557512,-457.51305393257644,-4.48125432456159,-8.645877295157186,-1.0921120144941883,1.4997909975178088,1.2021636228431838
mo15_ai_optimize_workflows_pct,dv21_premature_death_ypll_rate,2898,-1.702813976497303,0.03773731994308637,-3.309138113338479,-0.0964898396561269,-264.4938802457491,0.015968063872255488,-455.2015115505639,-56.23416404246474,450,2448,9928.91504538084,9462.1640625,10208.404394212112,-264.4938802457491,-2.5909424238298198,-4.459085807853095,-0.5508614458332781,1.3443585027716125,1.1359606628150054
mo2_robotics_composite_score,dv21_premature_death_ypll_rate,2898,-25.900831618216728,9.755387507777562e-05,-38.92878942512689,-12.872873811306567,-347.9166340204738,0.003992015968063872,-504.21693990661294,-173.41035445467912,936,1962,9928.91504538084,9462.1640625,10521.973732733459,-347.9166340204738,-3.306571968889434,-4.792037622542368,-1.6480781919765313,1.4070601312256965,1.2601893667476842
mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,2898,-2.4626876525342514,0.000373658005145157,-3.8192782205644504,-1.1060970845040523,-384.9560521581152,0.003992015968063872,-587.8936227742469,-141.35992547948626,773,2125,9928.91504538084,9462.1640625,10452.04071047794,-384.9560521581152,-3.6830707306010133,-5.624677888834632,-1.3524624462835861,1.4409470181120996,1.2319988121728864
mo1_genai_composite_score,ct5_ypll_per_100k_mid,2896,68.8035693823943,0.26350232384963834,-51.79952094819505,189.40665971298364,457.6682789307797,0.5508982035928144,-454.72632560952576,1493.107993313231,567,2329,5513.49939273487,4343.485093509878,5997.3332995670735,457.6682789307797,7.631196334607869,-7.582141977040877,24.89619833903534,1.4305985282900837,1.4287101609562096
mo11_ai_staff_scheduling_pct,ct5_ypll_per_100k_mid,2896,3.379017129080399,0.13098298920878237,-1.0062233110733745,7.764257569234172,47.11072022749249,1.0,-655.8615211435293,643.5454062733091,297,2599,5513.49939273487,4343.485093509878,5746.863863517597,47.11072022749249,0.8197639851286906,-11.41251187986352,11.198201689771741,1.110621321660495,1.5625040784493516
mo12_ai_predict_staff_needs_pct,ct5_ypll_per_100k_mid,2896,2.9328234546476266,0.2289644475640671,-1.845299355970233,7.710946265265486,-280.56430914683096,0.4031936127744511,-1047.3849705366551,417.0128855598478,317,2579,5513.49939273487,4343.485093509878,5784.050514027236,-280.56430914683096,-4.850654545053128,-18.108157388954005,7.209703382578104,1.3157882322239607,1.4094808431284456
mo13_ai_predict_patient_demand_pct,ct5_ypll_per_100k_mid,2896,4.2953562139171,0.07844175836073189,-0.4885649560508165,9.079277383885017,173.8794090445199,0.8982035928143712,-684.8647944118214,769.5621815538524,335,2561,5513.49939273487,4343.485093509878,5790.878015199466,173.8794090445199,3.0026432708154815,-11.826614075002775,13.289214166383106,1.234289649155543,1.5793922282116437
mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,2896,2.48271951851033,0.18852727881867382,-1.2178372593893267,6.183276296409987,-376.00287951638074,0.13972055888223553,-944.1710357082271,154.43897784117382,414,2482,5513.49939273487,4343.485093509878,5876.6705581986125,-376.00287951638074,-6.39822967431473,-16.066427858390036,2.628001285961388,1.3791143854888785,1.2168568030881368
mo15_ai_optimize_workflows_pct,ct5_ypll_per_100k_mid,2896,3.483598341870005,0.12073374936253112,-0.9165577851712889,7.883754468911299,588.1682646268118,0.6307385229540918,-502.09746627619046,1794.1879707946741,450,2446,5513.49939273487,4343.485093509878,5891.455016976594,588.1682646268118,9.983412636300683,-8.522469658672865,30.454072306834384,1.516274500177017,1.4619564517954162
mo2_robotics_composite_score,ct5_ypll_per_100k_mid,2896,-13.880722277555888,0.3392959859116381,-42.35177069336734,14.590326138255568,-201.70648987970435,0.3992015968063872,-696.4694589317995,281.5085420626608,936,1960,5513.49939273487,4343.485093509878,6481.77818877023,-201.70648987970435,-3.1119005310790118,-10.745036911914733,4.3430758329616745,1.2458428013114031,1.3024454700714863
mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid,2896,1.1771318408023066,0.4060387879881098,-1.5995905043054957,3.953854185910109,-380.42110367588066,0.19161676646706588,-920.9488855605783,202.0812873029798,773,2123,5513.49939273487,4343.485093509878,6336.161461287396,-380.42110367588066,-6.003967954418033,-14.534807725266802,3.189332982400364,1.3723291331328662,1.2492266574816553
