Label,Treatment,Outcome,Threshold,Scenario,Clip_Lower,Clip_Upper,Trim_Lower,Trim_Upper,ATE,CI_Lower,CI_Upper,p_value,N_Retained,N_Treated_Retained,N_Control_Retained,ESS,Max_Weight,P99_Weight
MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,0.0,trim_ps_0.05_0.95,0.01,0.99,0.05,0.95,-280.05870942082777,-465.2064073701051,-94.91101147155044,0.0030293732876098822,1852,616,1236,841.198787016724,29.48416129516134,12.396173168420543
MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,0.0,trim_empirical_common_support,0.01,0.99,0.010943633509719431,0.9504674383347751,-526.6817180157357,-798.39977592396,-254.96366010751137,0.00014519641736931987,2549,638,1911,548.5791673502116,74.19286717542164,16.1388647335644
MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid,0.0,clip_0.005_0.995,0.005,0.995,,,-701.0324715818944,-1369.7376181193238,-32.32732504446494,0.03990290574388333,2896,773,2123,539.907031680766,99.50749250892467,16.81633569016034
MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid,0.0,clip_0.01_0.99,0.01,0.99,,,-701.3423040316829,-1370.0873127158513,-32.597295347514546,0.03982704930153513,2896,773,2123,540.0376835665359,99.50749250892467,16.81633569016034
MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid,0.0,clip_0.02_0.98,0.02,0.98,,,-744.7792909300247,-1326.371173130459,-163.1874087295903,0.01207477485010866,2896,773,2123,678.4977453592949,50.0,16.81633569016034
MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid,0.0,trim_ps_0.05_0.95,0.01,0.99,0.05,0.95,51.651573668828675,-265.2150158155062,368.5181631531636,0.7493516766841273,1847,623,1224,849.8963211450188,24.057082543368583,12.150657364658617
MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid,0.0,trim_empirical_common_support,0.01,0.99,0.010049494513293173,0.9586231511449942,-268.34251601068587,-1014.7533379037334,478.0683058823617,0.4810339573262079,2590,654,1936,570.7920208256206,77.7422630908164,15.87933713359935
MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj,0.0,clip_0.005_0.995,0.005,0.995,,,-25.78562375254891,-41.66145482336739,-9.909792681730433,0.0014553415425802019,2896,773,2123,539.907031680766,99.50749250892467,16.81633569016034
MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj,0.0,clip_0.01_0.99,0.01,0.99,,,-25.800115367083052,-41.677255042525644,-9.92297569164046,0.0014476861919030526,2896,773,2123,540.0376835665359,99.50749250892467,16.81633569016034
MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj,0.0,clip_0.02_0.98,0.02,0.98,,,-26.779170584644717,-39.74153609669439,-13.816805072595045,5.1393622638507e-05,2896,773,2123,678.4977453592949,50.0,16.81633569016034
MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj,0.0,trim_ps_0.05_0.95,0.01,0.99,0.05,0.95,-1.3533208283302518,-8.163655898204913,5.45701424154441,0.6969189827601556,1847,623,1224,849.8963211450188,24.057082543368583,12.150657364658617
MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj,0.0,trim_empirical_common_support,0.01,0.99,0.010049494513293173,0.9586231511449942,-11.135606425131206,-27.5201385801672,5.248925729904789,0.18282826664016527,2590,654,1936,570.7920208256206,77.7422630908164,15.87933713359935
